"Similarity";"Compound ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"Np Likeness Score";"Molecular Formula";"Smiles";"Inchi Key";"Inchi";"Withdrawn Flag";"Orphan";"Records Key";"Records Name"
"89.5522415637969970703125";"CHEMBL10872";"";"";"Small molecule";"";"449.64";"11";"39";"3.85";"64.60";"4";"3";"0";"6";"N";"0.63";"2";"MOL";"-1";"33";"0.49";"C28H39N3O2";"CC(C)[C@@H](CN1CC[C@@](C)(c2cccc(O)c2)[C@@H](C)C1)NC(=O)[C@H]1Cc2ccccc2CN1";"FIUSEJZZMQXDRM-NGURIHQZSA-N";"InChI=1S/C28H39N3O2/c1-19(2)26(30-27(33)25-14-21-8-5-6-9-22(21)16-29-25)18-31-13-12-28(4,20(3)17-31)23-10-7-11-24(32)15-23/h5-11,15,19-20,25-26,29,32H,12-14,16-18H2,1-4H3,(H,30,33)/t20-,25+,26+,28+/m0/s1";"False";"-1";"['3f', '1b', '10', '2, JDTic', '6f']";"['(R)-N-((S)-1-((3R,4R)-4-(3-hydroxyphenyl)-3,4-dimethylpiperidin-1-yl)-3-methylbutan-2-yl)-1,2,3,4-tetrahydroisoquinoline-3-carboxamide', '1,2,3,4-Tetrahydro-isoquinoline-3-carboxylic acid {(S)-1-[(3R,4R)-4-(3-hydroxy-phenyl)-3,4-dimethyl-piperidin-1-ylmethyl]-2-methyl-propyl}-amide', '1,2,3,4-Tetrahydro-isoquinoline-3-carboxylic acid {1-[4-(3-hydroxy-phenyl)-3,4-dimethyl-piperidin-1-ylmethyl]-2-methyl-propyl}-amide', '(R)-N-((S)-1-((3R,4R)-4-(3-hydroxyphenyl)-3,4-dimethylpiperidin-1-yl)-3-methylbutan-2-yl)-1,2,3,4-tetrahydroisoquinoline-3-carboxamide', '(R)-N-((S)-1-((3R,4R)-4-(3-hydroxyphenyl)-3,4-dimethylpiperidin-1-yl)-3-methylbutan-2-yl)-1,2,3,4-tetrahydroisoquinoline-3-carboxamide']"
"87.1428549289703369140625";"CHEMBL270274";"";"";"Small molecule";"";"479.67";"4";"5";"3.94";"84.83";"5";"4";"0";"7";"N";"0.48";"2";"MOL";"-1";"35";"0.61";"C29H41N3O3";"CCC(C)[C@@H](CN1CC[C@@](C)(c2cccc(O)c2)[C@@H](C)C1)NC(=O)[C@H]1Cc2ccc(O)cc2CN1";"TVSAIJHIWGSNAM-QSEBDFKCSA-N";"InChI=1S/C29H41N3O3/c1-5-19(2)27(31-28(35)26-14-21-9-10-25(34)13-22(21)16-30-26)18-32-12-11-29(4,20(3)17-32)23-7-6-8-24(33)15-23/h6-10,13,15,19-20,26-27,30,33-34H,5,11-12,14,16-18H2,1-4H3,(H,31,35)/t19?,20-,26+,27+,29+/m0/s1";"False";"-1";"['3']";"['(3R)-7-hydroxy-N-[(1S,2S)-1-{[(3R,4R)-4-(3-hydroxyphenyl)-3,4-dimethylpiperidin-1-yl]methyl}-2-methylbutyl]-1,2,3,4-tetrahydroisoquinoline-3-carboxamide']"
"100";"CHEMBL5483022";"";"";"";"";"538.56";"3";"6";"3.55";"84.83";"5";"4";"0";"6";"N";"0.52";"2";"MOL";"-1";"34";"0.58";"C28H41Cl2N3O3";"CC(C)[C@@H](CN1CC[C@@](C)(c2cccc(O)c2)[C@@H](C)C1)NC(=O)[C@H]1Cc2ccc(O)cc2CN1.Cl.Cl";"QJNHURYCTCUGHH-AVWZHOAASA-N";"InChI=1S/C28H39N3O3.2ClH/c1-18(2)26(30-27(34)25-13-20-8-9-24(33)12-21(20)15-29-25)17-31-11-10-28(4,19(3)16-31)22-6-5-7-23(32)14-22;;/h5-9,12,14,18-19,25-26,29,32-33H,10-11,13,15-17H2,1-4H3,(H,30,34);2*1H/t19-,25+,26+,28+;;/m0../s1";"False";"-1";"['JDTic (dihydrochloride)', 'JDTIC (DIHYDROCHLORIDE)', 'JDTic (dihydrochloride)', 'JDTic (dihydrochloride)']";"['JDTic (dihydrochloride)', 'JDTIC (DIHYDROCHLORIDE)', 'JDTic (dihydrochloride)', 'JDTic (dihydrochloride)']"
"88.57142925262451171875";"CHEMBL406913";"";"";"Small molecule";"";"464.65";"4";"8";"3.43";"90.62";"5";"4";"0";"6";"N";"0.49";"2";"MOL";"-1";"34";"0.44";"C28H40N4O2";"CC(C)[C@@H](CN1CC[C@@](C)(c2cccc(O)c2)[C@@H](C)C1)NC(=O)[C@H]1Cc2ccc(N)cc2CN1";"AWOCJMIHEYWOBI-VMGNSXQWSA-N";"InChI=1S/C28H40N4O2/c1-18(2)26(31-27(34)25-13-20-8-9-23(29)12-21(20)15-30-25)17-32-11-10-28(4,19(3)16-32)22-6-5-7-24(33)14-22/h5-9,12,14,18-19,25-26,30,33H,10-11,13,15-17,29H2,1-4H3,(H,31,34)/t19-,25+,26+,28+/m0/s1";"False";"-1";"['3h', '6c']";"['(R)-7-amino-N-((S)-1-((3R,4R)-4-(3-hydroxyphenyl)-3,4-dimethylpiperidin-1-yl)-3-methylbutan-2-yl)-1,2,3,4-tetrahydroisoquinoline-3-carboxamide', '(3R)-7-amino-N-[(1S)-1-{[(3R,4R)-4-(3-hydroxyphenyl)-3,4-dimethylpiperidin-1-yl] methyl}-2-methylpropyl]-1,2,3,4-tetrahydroisoquinoline-3-carboxamide']"
"100";"CHEMBL2112475";"";"";"Small molecule";"";"465.64";"7";"10";"3.55";"84.83";"5";"4";"0";"6";"N";"0.52";"2";"MOL";"-1";"34";"0.58";"C28H39N3O3";"CC(C)[C@@H](CN1CC[C@](C)(c2cccc(O)c2)[C@H](C)C1)NC(=O)[C@H]1Cc2ccc(O)cc2CN1";"ZLVXBBHTMQJRSX-PDJOKWROSA-N";"InChI=1S/C28H39N3O3/c1-18(2)26(30-27(34)25-13-20-8-9-24(33)12-21(20)15-29-25)17-31-11-10-28(4,19(3)16-31)22-6-5-7-23(32)14-22/h5-9,12,14,18-19,25-26,29,32-33H,10-11,13,15-17H2,1-4H3,(H,30,34)/t19-,25-,26-,28+/m1/s1";"False";"-1";"['17']";"['7-Hydroxy-1,2,3,4-tetrahydro-isoquinoline-3-carboxylic acid {1-[4-(3-hydroxy-phenyl)-3,4-dimethyl-piperidin-1-ylmethyl]-2-methyl-propyl}-amide']"
"100";"CHEMBL51204";"";"";"Small molecule";"";"465.64";"8";"15";"3.55";"84.83";"5";"4";"0";"6";"N";"0.52";"2";"MOL";"-1";"34";"0.58";"C28H39N3O3";"CC(C)[C@@H](CN1CC[C@@](C)(c2cccc(O)c2)[C@@H](C)C1)NC(=O)C1Cc2ccc(O)cc2CN1";"ZLVXBBHTMQJRSX-HUUIFEGFSA-N";"InChI=1S/C28H39N3O3/c1-18(2)26(30-27(34)25-13-20-8-9-24(33)12-21(20)15-29-25)17-31-11-10-28(4,19(3)16-31)22-6-5-7-23(32)14-22/h5-9,12,14,18-19,25-26,29,32-33H,10-11,13,15-17H2,1-4H3,(H,30,34)/t19-,25?,26+,28+/m0/s1";"False";"-1";"['10']";"['7-Hydroxy-1,2,3,4-tetrahydro-isoquinoline-3-carboxylic acid {1-[4-(3-hydroxy-phenyl)-3,4-dimethyl-piperidin-1-ylmethyl]-2-methyl-propyl}-amide']"
"100";"CHEMBL326471";"";"";"Small molecule";"";"465.64";"8";"13";"3.55";"84.83";"5";"4";"0";"6";"N";"0.52";"2";"MOL";"-1";"34";"0.58";"C28H39N3O3";"CC(C)[C@@H](CN1CC[C@@](C)(c2cccc(O)c2)[C@@H](C)C1)NC(=O)[C@@H]1Cc2ccc(O)cc2CN1";"ZLVXBBHTMQJRSX-NHJHCIEMSA-N";"InChI=1S/C28H39N3O3/c1-18(2)26(30-27(34)25-13-20-8-9-24(33)12-21(20)15-29-25)17-31-11-10-28(4,19(3)16-31)22-6-5-7-23(32)14-22/h5-9,12,14,18-19,25-26,29,32-33H,10-11,13,15-17H2,1-4H3,(H,30,34)/t19-,25-,26+,28+/m0/s1";"False";"-1";"['9', '3e']";"['7-Hydroxy-1,2,3,4-tetrahydro-isoquinoline-3-carboxylic acid {1-[4-(3-hydroxy-phenyl)-3,4-dimethyl-piperidin-1-ylmethyl]-2-methyl-propyl}-amide', '(S)-7-hydroxy-N-((S)-1-((3R,4R)-4-(3-hydroxyphenyl)-3,4-dimethylpiperidin-1-yl)-3-methylbutan-2-yl)-1,2,3,4-tetrahydroisoquinoline-3-carboxamide']"
"88.57142925262451171875";"CHEMBL3613446";"";"";"Small molecule";"";"467.63";"8";"13";"3.99";"64.60";"4";"3";"0";"6";"N";"0.60";"2";"MOL";"-1";"34";"0.22";"C28H38FN3O2";"CC(C)[C@@H](CN1CC[C@@](C)(c2cccc(F)c2)[C@@H](C)C1)NC(=O)[C@H]1Cc2ccc(O)cc2CN1";"KEJRXUQUXVOIHT-VMGNSXQWSA-N";"InChI=1S/C28H38FN3O2/c1-18(2)26(31-27(34)25-13-20-8-9-24(33)12-21(20)15-30-25)17-32-11-10-28(4,19(3)16-32)22-6-5-7-23(29)14-22/h5-9,12,14,18-19,25-26,30,33H,10-11,13,15-17H2,1-4H3,(H,31,34)/t19-,25+,26+,28+/m0/s1";"False";"-1";"['3b']";"['(R)-N-((S)-1-((3R,4R)-4-(3-fluorophenyl)-3,4-dimethylpiperidin-1-yl)-3-methylbutan-2-yl)-7-hydroxy-1,2,3,4-tetrahydroisoquinoline-3-carboxamide']"
"89.5522415637969970703125";"CHEMBL3613445";"";"";"Small molecule";"";"449.64";"8";"13";"3.85";"64.60";"4";"3";"0";"6";"N";"0.63";"2";"MOL";"-1";"33";"0.49";"C28H39N3O2";"CC(C)[C@@H](CN1CC[C@@](C)(c2ccccc2)[C@@H](C)C1)NC(=O)[C@H]1Cc2ccc(O)cc2CN1";"HWLXXPDFUVISBV-NGURIHQZSA-N";"InChI=1S/C28H39N3O2/c1-19(2)26(30-27(33)25-15-21-10-11-24(32)14-22(21)16-29-25)18-31-13-12-28(4,20(3)17-31)23-8-6-5-7-9-23/h5-11,14,19-20,25-26,29,32H,12-13,15-18H2,1-4H3,(H,30,33)/t20-,25+,26+,28+/m0/s1";"False";"-1";"['3a']";"['(R)-N-((S)-1-((3R,4R)-3,4-dimethyl-4-phenylpiperidin-1-yl)-3-methylbutan-2-yl)-7-hydroxy-1,2,3,4-tetrahydroisoquinoline-3-carboxamide']"
"86.1111104488372802734375";"CHEMBL575295";"";"";"Small molecule";"";"479.67";"4";"6";"3.86";"73.83";"5";"3";"0";"7";"N";"0.56";"2";"MOL";"-1";"35";"0.42";"C29H41N3O3";"COc1cccc([C@]2(C)CCN(C[C@@H](NC(=O)[C@H]3Cc4ccc(O)cc4CN3)C(C)C)C[C@@H]2C)c1";"DXQSWBPXHPUDDS-XAOJMSMDSA-N";"InChI=1S/C29H41N3O3/c1-19(2)27(31-28(34)26-14-21-9-10-24(33)13-22(21)16-30-26)18-32-12-11-29(4,20(3)17-32)23-7-6-8-25(15-23)35-5/h6-10,13,15,19-20,26-27,30,33H,11-12,14,16-18H2,1-5H3,(H,31,34)/t20-,26+,27+,29+/m0/s1";"False";"-1";"['8d']";"['(3R)-7-hydroxy-N-[(1S)-1-{[(3R,4R)-4-(3-methoxyphenyl)-3,4-dimethylpiperidin-1-yl]methyl}-2-methylpropyl]-1,2,3,4-tetrahydroisoquinoline-3-carboxamide']"
